rank,name,times_recommended,resolution_class,in_google_fonts,google_fonts_usage_rank
641,Aktiv Grotesk Condensed,1,known_non_google,no,
642,Tazugane Gothic Condensed,1,known_non_google,no,
643,Morisawa UD Shin Go NT Conde90,1,known_non_google_variant,no,
644,TP Mincho Condensed,1,known_non_google,no,
645,UD Shin Go Condensed,1,known_non_google,no,
646,TP Mincho Low Contrast Condensed,1,known_non_google_variant,no,
647,Morisawa Shin Go Condensed,1,known_non_google,no,
648,Fontworks New Rodin ProN Condensed,1,known_non_google_variant,no,
649,Type Project TP Sky Condensed,1,known_non_google,no,
650,TheSerif Greek,1,not_yet_triaged,no,
651,TT Commons,1,not_yet_triaged,no,
652,Muller,1,not_yet_triaged,no,
653,Gilroy,1,not_yet_triaged,no,
654,Yeseva One,1,exact,yes,350
655,TT Travels,1,not_yet_triaged,no,
656,Linux Libertine,1,not_yet_triaged,no,
657,UDEV Gothic,1,not_yet_triaged,no,
658,Tipo Pèpel,1,not_yet_triaged,no,
659,Skolar Cyrillic,1,known_non_google,no,
660,Mongoose,1,not_yet_triaged,no,
661,Kazimir Display,1,known_non_google_variant,no,
662,Neue Machina UltraBold,1,known_non_google_variant,no,
663,Compacta Black,1,known_non_google,no,
664,Dharma Gothic,1,not_yet_triaged,no,
665,Manuka,1,not_yet_triaged,no,
666,Clash Display,1,not_yet_triaged,no,
667,Saira Semi Condensed,1,exact,yes,395
668,Adobe Caslon,1,not_yet_triaged,no,
669,Capitolium,1,not_yet_triaged,no,
670,MVB Verdigris,1,not_yet_triaged,no,
671,Rajdhani,1,exact,yes,92
672,Lyon Display,1,not_yet_triaged,no,
673,Display optical sizes,1,not_yet_triaged,no,
674,Farnham Display,1,known_non_google_variant,no,
675,Mercury Display,1,not_yet_triaged,no,
676,FOT-Tsukushi A Old Mincho,1,not_yet_triaged,no,
677,Dancing Script,1,exact,yes,66
678,Kozuka Mincho Pro,1,known_non_google_variant,no,
679,Roslindale,1,not_yet_triaged,no,
680,Tsukushi Antique Gothic,1,not_yet_triaged,no,
681,Antonia H1,1,not_yet_triaged,no,
682,PF Square Sans Pro,1,not_yet_triaged,no,
683,Janson Text,1,not_yet_triaged,no,
684,Helvetica Now Display,1,known_non_google_variant,no,
685,Merriweather Sans,1,exact,yes,116
686,FF Meta Cyrillic,1,known_non_google,no,
687,Fedra Sans Pro Cyrillic,1,known_non_google_variant,no,
688,FF Meta Pro Cyrillic,1,known_non_google_variant,no,
689,Skolar Sans Cyrillic,1,known_non_google_variant,no,
690,Museo Sans Cyrillic,1,not_yet_triaged,no,
691,Barlow Semi Condensed,1,exact,yes,125
692,Encode Sans Condensed,1,exact,yes,311
693,STIX Two Math,1,exact,yes,949
694,Milo Serif,1,not_yet_triaged,no,
695,Graphik LCG,1,known_non_google_variant,no,
696,Fact,1,not_yet_triaged,no,
697,FF Scala Sans,1,known_non_google_variant,no,
698,Outfit,1,exact,yes,28
699,PF DIN Text Universal,1,not_yet_triaged,no,
700,Cardea,1,not_yet_triaged,no,
701,Sorts Mill Goudy,1,exact,yes,364
702,FF Scala Serif,1,known_non_google_variant,no,
703,A-OTF Bunkyu Mincho Pr6N,1,not_yet_triaged,no,
704,JetBrains Sans,1,not_yet_triaged,no,
705,Tsukushi Maru Gothic,1,not_yet_triaged,no,
706,Goudy Old Style,1,not_yet_triaged,no,
707,Chaparral,1,not_yet_triaged,no,
708,Morisawa UD Kyokashotai,1,not_yet_triaged,no,
709,Century,1,not_yet_triaged,no,
710,Lyon Text Greek,1,known_non_google,no,
711,PF DIN Text Greek,1,not_yet_triaged,no,
712,PF Marlet Text,1,not_yet_triaged,no,
713,Futura,1,generic_historical_name,no,
714,Twinkl,1,not_yet_triaged,no,
715,Bembo Infant,1,known_non_google_variant,no,
716,Fabula,1,not_yet_triaged,no,
717,FF Schulbuch,1,not_yet_triaged,no,
718,Lexia Readable,1,not_yet_triaged,no,
719,Heinemann Special,1,known_non_google_variant,no,
720,Chewy,1,exact,yes,469
721,TBUDGothic,1,not_yet_triaged,no,
722,FOT-Rodin Pro,1,not_yet_triaged,no,
723,Klee,1,not_yet_triaged,no,
724,FOT-TsukuGo Pro,1,not_yet_triaged,no,
725,TT Norms Japanese,1,not_yet_triaged,no,
726,TsukuARdGothic,1,known_non_google,no,
727,DNP Shuei Maru Gothic,1,not_yet_triaged,no,
728,FOT-TsukuARdGothic,1,not_yet_triaged,no,
729,DNP Shuei MaruGo,1,not_yet_triaged,no,
730,FOT-Seurat Pro,1,known_non_google_variant,no,
731,FOT-Skip,1,not_yet_triaged,no,
732,FOT-TsukuB Antique,1,not_yet_triaged,no,
733,A-OTF UD Shin Go Pr6N,1,known_non_google_variant,no,
734,Trajan Pro 3,1,known_non_google_variant,no,
735,SST,1,not_yet_triaged,no,
736,PT Astra Serif,1,not_yet_triaged,no,
737,Greta Text Hellenic,1,known_non_google_variant,no,
738,Greta Text Greek Narrow,1,known_non_google,no,
739,Fedra Sans Condensed Greek,1,known_non_google,no,
740,Helvetica Now Display Bold,1,known_non_google_variant,no,
741,Helvetica Neue Bold,1,known_non_google,no,
742,FF Meta Bold,1,known_non_google,no,
743,DIN 1451,1,known_non_google,no,
744,Andada Pro,1,exact,yes,192
745,Newton,1,not_yet_triaged,no,
746,Monotype Shorai Sans,1,known_non_google,no,
747,Izhitsa,1,not_yet_triaged,no,
